Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
Åland Islands,2023,Total,Both Sexes,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2024,11785,1
Åland Islands,2023,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2024,5630,1
Åland Islands,2023,Total,Female,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2024,6155,1
Åland Islands,2022,Total,Both Sexes,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2023,11750,1
Åland Islands,2022,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2023,5647,1
Åland Islands,2022,Total,Female,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2023,6102.5,1
Åland Islands,2021,Total,Both Sexes,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2022,11724,1
Åland Islands,2021,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2022,5638,1
Åland Islands,2021,Total,Female,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2022,6086,1
Åland Islands,2020,Total,Both Sexes,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2021,11692,1
Åland Islands,2020,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2021,5599.5,1
Åland Islands,2020,Total,Female,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2021,6092,1
Åland Islands,2019,Total,Both Sexes,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2020,11711,1
Åland Islands,2019,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2020,5606,1
Åland Islands,2019,Total,Female,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2020,6105,1
Åland Islands,2018,Total,Both Sexes,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2019,11709,1
Åland Islands,2018,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2019,5620.5,1
Åland Islands,2018,Total,Female,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2019,6088.5,1
Åland Islands,2017,Total,Both Sexes,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2018,11621,1
Åland Islands,2017,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2018,5583,1
Åland Islands,2017,Total,Female,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2018,6038,1
Åland Islands,2016,Total,Both Sexes,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2017,11513,1
Åland Islands,2016,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2017,5538,1
Åland Islands,2016,Total,Female,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2017,5975,1
Åland Islands,2015,Total,Both Sexes,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2016,11471,1
Åland Islands,2015,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2016,5521,1
Åland Islands,2015,Total,Female,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2016,5950,1
Åland Islands,2014,Total,Both Sexes,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2015,11437,1
Åland Islands,2014,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2015,5490,1
Åland Islands,2013,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2014,5445,1
